round,source,source_round,seed,conditionType,generationMode,difficultyLabel,difficultyScore,optimalLength,planningRequirementCollected,initialConflictEdges
1,existing_36,1,9005,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,5
2,existing_36,3,9023,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
3,existing_36,4,9035,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
4,existing_36,6,9053,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,6
5,existing_36,7,9055,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,5
6,existing_36,8,9056,requires_nonconflict_region,legacy,medium,4.1,4,1,7
7,existing_36,9,9057,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
8,existing_36,10,9061,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
9,existing_36,11,9067,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
10,existing_36,12,9069,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
11,existing_36,14,9058,requires_nonconflict_region,legacy,medium,5.1,5,1,6
12,existing_36,15,9088,requires_nonconflict_region,legacy,medium,5.1,5,1,9
13,existing_36,16,9096,requires_nonconflict_region,legacy,medium,5.1,5,1,8
14,existing_36,17,9008,requires_nonconflict_region,legacy,other,6.1,6,1,6
15,existing_36,18,9028,requires_nonconflict_region,legacy,other,6.1,6,1,5
16,existing_36,19,9090,requires_nonconflict_region,legacy,other,6.1,6,1,10
17,existing_36,20,9098,requires_nonconflict_region,legacy,other,6.1,6,1,10
18,existing_36,23,9121,requires_nonconflict_region,legacy,medium,5.1,5,1,7
19,existing_36,24,9135,requires_nonconflict_region,legacy,medium,4.1,4,1,5
20,existing_36,25,9142,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
21,existing_36,26,9149,requires_nonconflict_region,legacy,medium,4.1,4,1,6
22,existing_36,27,9153,requires_nonconflict_region,legacy,other,6.1,6,1,8
23,existing_36,28,9155,requires_nonconflict_region,legacy,medium,5.1,5,1,6
24,existing_36,30,9160,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
25,existing_36,32,9169,requires_nonconflict_region,legacy,other,6.1,6,1,10
26,existing_36,34,9215,requires_nonconflict_region,legacy,medium,5.1,5,1,7
27,existing_36,35,9218,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
28,existing_36,36,9227,requires_nonconflict_region,legacy,other,6.1,6,1,9
29,new_generated,1,10001,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
30,new_generated,2,10002,requires_nonconflict_region,legacy,medium,5.1,5,1,7
31,new_generated,3,10003,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,6
32,new_generated,4,10010,requires_nonconflict_region,legacy,medium,5.1,5,1,7
33,new_generated,5,10015,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
34,new_generated,6,10016,requires_nonconflict_region,legacy,other,6.1,6,1,7
35,new_generated,7,10023,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,5
36,new_generated,8,10024,requires_nonconflict_region,legacy,medium,5.1,5,1,7
37,new_generated,9,10025,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,4
38,new_generated,10,10035,requires_adjacent_nonconflict_pair,legacy,medium,4.1,4,1,6
