candidateIndex,seedAttemptIndex,seed,targetLabel,difficultyLabel,difficultyScore,conditionType,generationMode,optimalLength,solvedWithinBound,planningRequirementCollected,nCollectedOptimalSolutions,solutionCollectionCapped,initialConflictEdges,initialConflictRegions,adjacentNonconflictRegions,adjacencyPairs,searchNodes,elapsedSeconds
6,6,8005,,easy,1.0,requires_adjacent_nonconflict_pair,easy_perturb,1,True,0,1,False,2,3,11,107,124,0.0056
38,41,8040,,easy,1.0,requires_nonconflict_region,easy_perturb,1,True,0,1,False,1,2,5,101,111,0.0105
47,51,8050,,easy,1.0,requires_nonconflict_region,easy_perturb,1,True,0,1,False,1,2,2,106,137,0.0052
57,61,8060,,easy,1.0,requires_nonconflict_region,easy_perturb,1,True,0,1,False,1,2,3,105,134,0.0124
62,66,8065,,easy,1.0,requires_adjacent_nonconflict_pair,easy_perturb,1,True,0,1,False,2,3,10,112,95,0.0047
63,67,8066,,easy,1.0,requires_nonconflict_region,uniform_3_4,1,True,0,1,False,1,2,3,102,131,1.6995
80,86,8085,,easy,1.0,requires_adjacent_nonconflict_pair,easy_perturb,1,True,0,1,False,2,3,5,104,129,0.0056
85,91,8090,,easy,1.0,requires_nonconflict_region,easy_perturb,1,True,0,1,False,3,4,11,108,96,0.0143
90,96,8095,,easy,1.0,requires_adjacent_nonconflict_pair,easy_perturb,1,True,0,1,False,1,2,5,104,136,0.0053
9,10,8009,,easy,2.0,requires_adjacent_nonconflict_pair,hard_perturb,2,True,0,1,False,4,6,10,105,376,0.0151
10,11,8010,,easy,2.0,requires_nonconflict_region,easy_perturb,2,True,0,1,False,3,5,14,102,308,0.0136
14,15,8014,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,2,4,10,103,233,0.0135
15,16,8015,,easy,2.0,requires_adjacent_nonconflict_pair,easy_perturb,2,True,0,1,False,2,4,8,108,312,3.9839
19,21,8020,,easy,2.0,requires_nonconflict_region,easy_perturb,2,True,0,1,False,3,4,4,103,320,0.012
23,25,8024,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,2,4,9,102,451,0.0369
25,27,8026,,easy,2.0,requires_nonconflict_region,uniform_3_4,2,True,0,1,False,3,5,8,105,322,0.0292
29,31,8030,,easy,2.0,requires_nonconflict_region,easy_perturb,2,True,0,1,False,3,5,12,106,211,0.0165
33,35,8034,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,4,6,16,106,273,0.0198
34,36,8035,,easy,2.0,requires_adjacent_nonconflict_pair,easy_perturb,2,True,0,1,False,4,6,10,106,187,0.0089
48,52,8051,,easy,2.0,requires_adjacent_nonconflict_pair,uniform_3_4,2,True,0,1,False,4,6,12,107,144,0.8282
51,55,8054,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,3,5,14,110,304,0.0203
56,60,8059,,easy,2.0,requires_adjacent_nonconflict_pair,hard_perturb,2,True,0,1,False,3,5,15,103,247,0.016
70,75,8074,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,3,5,15,108,172,0.0186
75,81,8080,,easy,2.0,requires_nonconflict_region,easy_perturb,2,True,0,1,False,4,6,19,104,318,0.0105
76,82,8081,,easy,2.0,requires_adjacent_nonconflict_pair,uniform_3_4,2,True,0,1,False,3,5,13,101,190,0.0099
89,95,8094,,easy,2.0,requires_nonconflict_region,hard_perturb,2,True,0,1,False,3,5,13,105,129,0.0076
95,101,8100,,easy,2.0,requires_nonconflict_region,easy_perturb,2,True,0,1,False,3,5,11,107,225,0.0804
100,106,8105,,easy,2.0,requires_adjacent_nonconflict_pair,easy_perturb,2,True,0,1,False,3,5,12,104,194,0.0515
1,1,8000,,easy,3.0,requires_nonconflict_region,easy_perturb,3,True,0,1,False,6,9,15,104,385,0.0159
2,2,8001,,easy,3.0,requires_adjacent_nonconflict_pair,uniform_3_4,3,True,0,1,False,6,9,16,108,579,0.1833
5,5,8004,,easy,3.0,requires_nonconflict_region,hard_perturb,3,True,0,1,False,6,8,19,107,603,0.1482
7,7,8006,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,7,10,22,104,323,0.1223
