agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,Rex,1,1,0,1,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 1,44,1,2,1,True
human,Rex,1,1,1,2,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 2,42,0,1,2,True
human,Rex,1,1,2,3,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,1,3,3,True
human,Rex,1,1,3,4,3 2 3 1 2 2 3 2 2 3 1 3 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,3,2,4,True
human,Rex,1,1,4,5,3 2 3 1 2 2 3 2 2 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,8,2,1,5,True
human,Rex,1,1,5,6,3 2 3 1 2 2 3 2 1 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,8,1,2,6,True
human,Rex,1,1,6,7,3 2 3 1 2 2 3 2 2 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,10,1,3,7,True
human,Rex,1,1,7,8,3 2 3 1 2 2 3 2 2 3 3 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,10,3,1,8,True
human,Rex,1,1,8,9,3 2 3 1 2 2 3 2 2 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,2,3,9,True
human,Rex,1,1,9,10,3 2 3 1 2 2 3 2 2 3 1 3 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,3,0,10,True
human,Rex,1,1,10,11,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,20,3,2,11,True
