candidateIndex,seedAttemptIndex,seed,targetLabel,difficultyLabel,difficultyScore,conditionType,generationMode,optimalLength,solvedWithinBound,planningRequirementCollected,nCollectedOptimalSolutions,solutionCollectionCapped,initialConflictEdges,initialConflictRegions,adjacentNonconflictRegions,adjacencyPairs,searchNodes,elapsedSeconds
1,6,9005,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,13,103,1424,1.0418
2,20,9019,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,17,109,1703,0.8325
3,24,9023,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,107,2540,1.6372
4,36,9035,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,102,2043,0.709
5,38,9037,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,22,103,908,1.6724
6,54,9053,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,21,105,3222,2.1567
7,56,9055,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,104,2615,1.2745
8,57,9056,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,7,10,22,100,3196,1.5398
9,58,9057,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,13,103,753,1.0847
10,62,9061,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,14,106,3088,0.7325
11,68,9067,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,17,107,2828,1.0516
12,70,9069,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,6,13,109,1071,6.0865
13,82,9081,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,110,2055,0.9393
14,59,9058,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,17,110,1037,0.9596
15,89,9088,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,9,10,13,102,1305,0.5511
16,97,9096,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,8,10,22,103,1821,1.5349
17,9,9008,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,6,11,22,107,7330,1.9579
18,29,9028,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,5,10,19,105,15345,1.6445
19,91,9090,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,14,27,107,6730,3.5102
20,99,9098,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,14,21,105,4555,2.064
21,6,9106,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,16,106,1712,0.6682
22,10,9110,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,7,15,105,1508,1.0066
23,21,9121,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,10,14,105,2259,0.4958
24,35,9135,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,5,8,20,104,3697,0.7026
25,42,9142,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,19,102,2498,0.7136
26,49,9149,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,6,9,20,103,3631,0.8161
27,53,9153,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,8,13,26,104,7826,1.9277
28,55,9155,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,7,16,101,1811,0.3927
29,57,9157,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,8,12,23,108,1974,1.3022
30,60,9160,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,19,102,2458,0.7628
31,63,9163,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,11,21,102,2076,1.0169
32,69,9169,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,14,18,104,10919,1.2974
33,75,9175,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,11,13,112,4726,0.5725
34,115,9215,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,11,19,101,16796,1.2747
35,118,9218,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,11,107,573,0.384
36,127,9227,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,9,13,18,109,2976,0.9938
37,132,9232,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,12,103,546,0.426
38,133,9233,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,5,8,19,104,2261,0.6372
39,145,9245,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,3,6,13,110,1453,0.3002
40,146,9246,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,8,19,107,1269,0.6926
