candidateIndex,seedAttemptIndex,seed,targetLabel,difficultyLabel,difficultyScore,conditionType,generationMode,optimalLength,solvedWithinBound,planningRequirementCollected,nCollectedOptimalSolutions,solutionCollectionCapped,initialConflictEdges,initialConflictRegions,adjacentNonconflictRegions,adjacencyPairs,searchNodes,elapsedSeconds
2,2,9001,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,14,103,2962,0.817
4,4,9003,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,16,105,1369,1.3306
6,6,9005,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,13,103,1424,1.0418
8,8,9007,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,20,106,1192,1.0987
10,10,9009,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,103,2105,1.1964
12,12,9011,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,7,10,20,108,808,1.6023
14,14,9013,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,17,105,1525,0.7423
16,16,9015,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,20,107,3248,1.8673
18,18,9017,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,106,2008,1.7546
20,20,9019,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,17,109,1703,0.8325
22,22,9021,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,19,101,1773,1.3729
23,23,9022,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,16,103,1516,0.5741
24,24,9023,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,107,2540,1.6372
25,25,9024,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,17,105,5960,0.8021
26,26,9025,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,104,2871,1.1549
28,28,9027,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,22,106,2371,1.8898
30,30,9029,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,101,2629,0.6621
31,32,9031,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,12,107,1068,0.5859
33,34,9033,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,105,2043,2.5436
35,36,9035,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,102,2043,0.709
37,38,9037,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,22,103,908,1.6724
39,40,9039,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,7,8,17,106,1215,1.3956
