round,condition_type,agent_step,terminated,reason,search_depth,region,old_color,new_color,n_conflict_edges_before,n_conflict_edges_after,conflict_delta,conflict_regions_before,selected_found_solution_within_depth,planning_depth_used,tree_iterations_used,pruning_thresh,lapse_rate,selected_by_lapse,expanded_root_children,improved_conflicts
1,requires_nonconflict_region,0,False,,0,12,3,1,11,7,-4,3 7 8 12 13 15 20 26 30 31 32 34 44,False,4,20,0,0.3,False,2,True
1,requires_nonconflict_region,1,False,,0,2,3,2,7,5,-2,3 7 8 12 15 26 30 31 32 34 44,False,4,20,0,0.3,True,4,True
1,requires_nonconflict_region,2,False,,0,33,2,0,5,3,-2,8 12 26 30 31 32 34 44,True,4,20,0,0.3,True,3,True
1,requires_nonconflict_region,3,False,,0,25,3,0,3,1,-2,8 26 31 32 44,True,4,20,0,0.3,True,2,True
1,requires_nonconflict_region,4,False,,1,23,3,2,1,1,0,32 44,True,4,20,0,0.3,False,1,False
1,requires_nonconflict_region,5,False,,0,31,0,3,1,0,-1,32 44,True,4,20,0,0.3,True,2,True
2,requires_nonconflict_region,0,False,,0,26,2,0,4,2,-2,5 21 22 27 30 44,True,4,20,0,0.3,False,1,True
2,requires_nonconflict_region,1,False,,0,43,0,1,2,1,-1,21 22 30 44,True,4,20,0,0.3,True,2,True
2,requires_nonconflict_region,2,False,,1,14,3,1,1,1,0,21 22,True,4,20,0,0.3,False,3,False
2,requires_nonconflict_region,3,False,,0,20,2,3,1,0,-1,21 22,True,4,20,0,0.3,True,1,True
3,requires_nonconflict_region,0,False,,0,9,1,0,6,4,-2,2 10 18 22 24 25 26 36 43,True,4,20,0,0.3,False,3,True
3,requires_nonconflict_region,1,False,,0,25,0,1,4,2,-2,2 18 22 24 26 43,True,4,20,0,0.3,False,1,True
3,requires_nonconflict_region,2,False,,1,19,1,0,2,2,0,2 22 43,True,4,20,0,0.3,False,1,False
3,requires_nonconflict_region,3,False,,0,1,2,1,2,0,-2,2 22 43,True,4,20,0,0.3,True,1,True
4,requires_nonconflict_region,0,False,,0,43,2,3,4,2,-2,8 12 20 24 28 38 44,True,4,20,0,0.3,True,1,True
4,requires_nonconflict_region,1,False,,0,27,3,0,2,1,-1,12 20 28 38,True,4,20,0,0.3,True,2,True
4,requires_nonconflict_region,2,False,,1,3,2,3,1,1,0,12 20,True,4,20,0,0.3,True,1,False
4,requires_nonconflict_region,3,False,,0,11,1,2,1,0,-1,12 20,True,4,20,0,0.3,False,2,True
5,requires_nonconflict_region,0,False,,0,15,1,2,3,2,-1,5 16 21 32 37 40,False,4,20,0,0.3,False,3,True
5,requires_nonconflict_region,1,False,,0,39,3,1,2,1,-1,5 21 32 40,True,4,20,0,0.3,False,1,True
5,requires_nonconflict_region,2,False,,1,21,1,2,1,1,0,5 32,True,4,20,0,0.3,False,9,False
