agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,5201314,1,1,0,1,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 1,44,1,2,1,True
human,5201314,1,1,1,2,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 2,42,0,1,2,True
human,5201314,1,1,2,3,3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,1,0,3,True
human,5201314,1,1,3,4,3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,0,2,4,True
human,5201314,1,1,4,5,3 2 3 1 2 2 3 2 2 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,8,2,3,5,True
human,5201314,1,1,5,6,3 2 3 1 2 2 3 2 3 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,0,3,2,6,True
human,5201314,1,1,6,7,2 2 3 1 2 2 3 2 3 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,0,2,0,7,True
human,5201314,1,1,7,8,0 2 3 1 2 2 3 2 3 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,0,0,2,8,True
human,5201314,1,1,8,9,2 2 3 1 2 2 3 2 3 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,26,0,3,9,True
human,5201314,1,1,9,10,2 2 3 1 2 2 3 2 3 3 1 2 2 0 1 1 1 0 0 1 3 2 2 3 1 3 3 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,11,2,0,10,True
human,5201314,1,1,10,11,2 2 3 1 2 2 3 2 3 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 3 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,20,3,0,11,True
human,5201314,1,1,11,12,2 2 3 1 2 2 3 2 3 3 1 0 2 0 1 1 1 0 0 1 0 2 2 3 1 3 3 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,13,0,3,12,True
human,5201314,1,1,12,13,2 2 3 1 2 2 3 2 3 3 1 0 2 3 1 1 1 0 0 1 0 2 2 3 1 3 3 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,25,3,2,13,True
human,5201314,1,1,13,14,2 2 3 1 2 2 3 2 3 3 1 0 2 3 1 1 1 0 0 1 0 2 2 3 1 2 3 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 1 0 2,7,2,1,14,True
